id,autahunor,guid,description,Text Cleaning,Sentiment
210,@masroy5764,UgzzFENJ4v8waBI-8gp4AaABAg,MK ???? Helehhh helehhh itu kan kronimu,Mk helehhh helehhh itu kan kronimu,negatif
211,@novitrianti8420,UgzCixeXd_U0teUx2Il4AaABAg,Gugat ke MK? Apa msh ada percaya,Gugat ke mk apa msh ada percaya,negatif
212,@Muhammad14W,UgznURZNoWN8PxwwF354AaABAg,Percuma mengajukan ke MK. Kami maunya anarkis aja. *Sarkas,Percuma mengajukan ke mk kami maunya anarkis aja sarkas,negatif
213,@nurhoiriyah2446,Ugy-YvRHTjb_8ZaDsat4AaABAg,Cepat membaik Negaraku,Cepat membaik negaraku,negatif
214,@Surya-kh3kc,UgxzSkC82-FC-D5ultp4AaABAg,"Omnibus law menjadi momok karna infrastruktur dan jaminan sosial di indonesia masih sangat rendah Tapi di satu sisi semua negara memang harus menerapkan omnibus law demi kemajuan bangsa Sebagai karyawan solusi nya cuman satu, upgrade diri sendiri!!! Perbanyak kemampuan diri, maka dijamin perusahaan yg mencari karyawan bukan karyawan yg mencari perusahaan Otomatis gaji akan kompetitif dan gaji ditentukan sendiri oleh karyawan",,negatif
215,@stitch0559,UgxzSkC82-FC-D5ultp4AaABAg.9EbgCIkozvw9EcCrkgHHah,"Setuju, kaya bersama bukan kaya perorang wkwk",Setuju kaya bersama bukan kaya perorang wkwk,negatif
216,@ez_meme2320,UgyY5T0RB4EOnBrDSw14AaABAg,Udh tau hasilnya ad orang dalem pasti menang ad uang pasti berkuasa .,Udh tau hasilnya ad orang dalem pasti menang ad uang pasti berkuasa,negatif
217,@ilcy8494,UgyxEmtpHzDblyzs8Jx4AaABAg,"Demi kemajuan bangsa dan keluarganya. Kok ada pilk4d4 di dikte. Kota so1o lagi, kota elegan. kalau daerah yg warganya primitif sih yg masih terbelakang di dikte ndapapa. Oke ke omnibuslaw. Silakan ke MK..",Demi kemajuan bangsa dan keluarganya kok ada pilk4d4 di dikte kota so1o lagi kota elegan kalau daerah yg warganya primitif sih yg masih terbelakang di dikte ndapapa oke ke,negatif
218,@fajarramadhan2512,UgwDUc4yM-zTQwVl9Np4AaABAg,Bubarkan DPRRI.. AKH SMUA NYA DZOLIM...REZIM SKRNG GAK ADA YG BISA DIPERCAYA,Bubarkan dprri akh smua nya dzolimrezim skrng gak ada yg bisa dipercaya,negatif
219,@rizkyfadilatulm.7985,UgyfMUbANrtDCORkqud4AaABAg,"""Silihkin mingijikin iji mitiri Ki imki "" Percuma ngelaporin ke sesama orang dalam juga pasti ditolak lahðŸ¤£",Silihkin mingijikin iji mitiri ki imki percuma ngelaporin ke sesama orang dalam juga pasti ditolak lah,negatif
220,@mozilafirefoxva3994,UgyfMUbANrtDCORkqud4AaABAg.9Eba2bxDFXA9Ec7gyYCKjN,Nonton videonya fullnya ya bunda jangan yg dipotong ini,Nonton videonya fullnya ya bunda jangan yg dipotong ini,netral
221,@rizkyfadilatulm.7985,UgyfMUbANrtDCORkqud4AaABAg.9Eba2bxDFXA9Ec9PMjqChN,@@mozilafirefoxva3994 udah nonton Om,Mozilafirefoxva3994 udah nonton om,netral
222,@f.b.i1168,UgyfMUbANrtDCORkqud4AaABAg.9Eba2bxDFXA9Eh2LO8RolW,Ibu takut tah bilang ke MK,Ibu takut tah bilang ke mk,netral
223,@rizkyfadilatulm.7985,UgyfMUbANrtDCORkqud4AaABAg.9Eba2bxDFXA9Eh87fF_Qmn,"@@f.b.i1168 Buat apaan gua lapor ke MK om , orang udah disahkan .",Fbi1168 buat apaan gua lapor ke mk om orang udah disahkan,netral
224,@yokinyt1009,UgyfMUbANrtDCORkqud4AaABAg.9Eba2bxDFXA9EiXRnH8BNe,@@rizkyfadilatulm.7985 terus lapor kemana ðŸ˜«ðŸ˜«,Rizkyfadilatulm7985 terus lapor kemana,netral
225,@verikjunaedi3188,UgzIfbuWAonQC_aamhN4AaABAg,gk usah ke MK buang waktu dan tenaga Aja. skrng klian jaya bisa menari di atas pendritaan rakyak. kelak semua rakyatmu akan minta semua pertanggung jawaban kalian.gk ada guna kalian bnyak sodakoh tpi rakyat kalian mendrita,Gk usah ke mk buang waktu dan tenaga aja skrng klian jaya bisa menari di atas pendritaan rakyak kelak semua rakyatmu a,netral
226,@ezalfarizy7113,UgyhyolqQVyj6j4YzMd4AaABAg,Ke MK malah sama kayak bunuh diri toh pak. Kok gak di Mahkamah Internasional aja sekalian ðŸ˜‚,Ke mk malah sama kayak bunuh diri toh pak kok gak di mahkamah internasional aja sekalian,netral
227,@alfianputra8462,UgyC0qniV5h-nj7Kr0t4AaABAg,"Salam 2 Periode ! (Drama, Kebohongan, Demo)",Salam 2 periode drama kebohongan demo,netral
228,@sinarjaya777online9,UgyC0qniV5h-nj7Kr0t4AaABAg.9EbYoCFuc2r9EeOTAEXUn-,Assiap...jangan lupa kuis ikan,Assiapjangan lupa kuis ikan,netral
229,@alfianputra8462,UgyC0qniV5h-nj7Kr0t4AaABAg.9EbYoCFuc2r9Ef4au6caTf,@@sinarjaya777online9 wkwkwkw nama2 ikan yaa,Sinarjaya777online9 wkwkwkw nama2 ikan yaa,netral
230,@narasumber5301,UgyC0qniV5h-nj7Kr0t4AaABAg.9EbYoCFuc2r9Eg3LhzkqrY,Kalo sampe 3 periode..!!! Dah lah malesss..,Kalo sampe 3 periode dah lah malesss,netral
231,@sukendar119,UgzxO1wbjLubo2A2YEh4AaABAg,MK nya dia dia juga. ðŸ˜… jadi sudah tau hasilnya...,Mk nya dia dia juga jadi sudah tau hasilnya,netral
232,@Jeffdkidchannel,UgwjkZbGv6sfDqUfgjd4AaABAg,Yg komen pasti gak baca 900 halaman atau paling tidak halaman yg tentang buruh aja. Klw sdh baca nanti sadar sendiri. Oh gw kemakan hoax grub wa...,Yg komen pasti gak baca 900 halaman atau paling tidak halaman yg tentang buruh aja klw sdh baca nanti sadar sendiri oh gw kemakan hoax grub wa,netral
233,@rizkysutiyawan4441,UgwX-YMjCVrGJ8LyFNx4AaABAg,"Maaf pak,,,,,saya udah Ndak percaya lagi sama bapak",Maaf paksaya udah ndak percaya lagi sama bapak,netral
234,@bagasahmed771,Ugy6GJI15yPYyDO4qFJ4AaABAg,Paling udh di kasih uang jajan pasti di tolak,Paling udh di kasih uang jajan pasti di tolak,netral
235,@ramdani0079,UgxLvJt3fsr2ZNWnOV54AaABAg,"Percuma ke MK bakal gagal juga, mending konsisten sama tujuan awal terus tolakownibuslaw",Percuma ke mk bakal gagal juga mending konsisten sama tujuan awal terus tolakownibuslaw,negatif
236,@dan_rere1581,UgwlZJQe66g1yXtSrOF4AaABAg,"Tolong publikasikan hutang negara kita dari 2015 sampai skrg. Krna skrg bnyak bgt pengeluaran negara ini,, apalagi corona yg gk jelas ini. Ente mau jual negara?",Tolong publikasikan hutang negara kita dari 2015 sampai skrg krna skrg bnyak bgt pengeluaran negara ini apalagi corona yg gk jelas ini ente mau jual negara,negatif
237,@legowoaja4024,Ugy0eIHRsgzxkbI4DuV4AaABAg,untung sy ga pilih beliau ini selama 2 periode ..byk ngibulny ke rakyat..jd sy g dosa..lembut tp nusuk..wkwkwkwkw,Untung sy ga pilih beliau ini selama 2 periode byk ngibulny ke rakyatjd sy g dosalembut tp nusukwkwkwkwkw,negatif
238,@rdns617,Ugx6G7ktCOLMmZNluyN4AaABAg,mengejar ekonomi meroket,Mengejar ekonomi meroket,negatif
239,@asepdadang6150,UgwmujxUIdkbIDEwOUN4AaABAg,"Coba tanya yg pada demo, apa yg sebenarnya didemo? Apa ngerti apa itu UU Cipta Kerja? Hayo ketahuan demo2 ini siapa dibelakangnya.......",Coba tanya yg pada demo apa yg sebenarnya didemo apa ngerti apa itu uu cipta kerja hayo ketahuan demo2 ini siapa dibelakangnya,negatif
240,@liasyatikazeralvia8120,UgzgiU6ZUPXuezRfXSJ4AaABAg,Sudah bisa ditebak pasti arahnya kayak gini.. lucunya negeriku,Sudah bisa ditebak pasti arahnya kayak gini lucunya negeriku,negatif
241,@selisari7987,UgyN7O6gGOophGpXcph4AaABAg,Padahal omnibus law bagus.warga indonesia termakan hoaks. Uud tersebut dapat membuka lapangan pekerjaan yg banyak. Payah warga indonesia ini. Selalu tidak meneliti keakuratan berita yg beredar di Internet.,Padahal omnibus law baguswarga indonesia termakan hoaks uud tersebut dapat membuka lapangan pekerjaan yg banyak payah warga indonesia ini selalu tidak meneliti,negatif
242,@farhatattamimi3918,Ugwn19k4c3_QvRaijQJ4AaABAg,Pengecut,Pengecut,negatif
243,@bbq3215,Ugx7bYnhMiLdWHRutSt4AaABAg,SAYA MENGADU KE ALLOH YG MAHA ADIL SEMOGA SEMUA YG BERTUHAN MENGADU MOHON KEADILANNYA.,Saya mengadu ke alloh yg maha adil semoga semua yg bertuhan mengadu mohon keadilannya,negatif
244,@jejejarkasih7048,UgzuEQ-D1dafJcwExmB4AaABAg,Modus. Munafik.,Modus munafik,negatif
245,@lumskay3184,Ugzz_1sV6i6hLE7muzB4AaABAg,"dari pertama aksi omnibus 16 juli dpr gak mau keluar, bilangnya tunggu rapat selesai 20 menit lagi, 10 menit lagi, 5 menit lagi, dari jam 2 siang sampe abis maghrib tbtb rapat beres, keluar mh enggak dpr buat ngasih penjelasan. aksi omnibus 14 agustus baru sampe palmerah gw udh dihadang polisi, bener2 gak dikasih akses ke arah gedung dpr, pokoknya kalau pakean item di cap \'Anarko\'. lngsung digiring ke kantor polisi, bahkan banyak yg smpe dipukulin, gak bikin rusuh nggak apa, aneh negara demokrasi dilarang demo. kalo emang banyak pengaruh positif ke rakyat kenapa nggak dari awal pas demo dpr gak mau keluar? kenapa demo 14 agustus gak dikasih akses buat bersuara ????",,
246,@lumskay3184,UgzbLxl65RgeDgkScIN4AaABAg,udah turun aja lah pak,Udah turun aja lah pak,negatif
247,@niakurnia7662,Ugz5krr6Gc-MGDYzotahun4AaABAg,Rakyat dan kaum buruh bukan mau minta klarifikasi dari persiden tapi menolak dan mencabut ruu omnibuslaw cipta kerja.,Rakyat dan kaum buruh bukan mau minta klarifikasi dari persiden tapi menolak dan mencabut ruu omnibuslaw cipta kerja,negatif
248,@razakgt6359,Ugy1HaC4q1JwpGFgbzp4AaABAg,MK juga dah tak dapat dipercaya,Mk juga dah tak dapat dipercaya,negatif
249,@sopialfiyah6082,UgzKiI7YzbV0Xw2u1VZ4AaABAg,Lugu tp picik,Lugu tp picik,negatif
250,@abdinu684,UgwKeCxWTmps0k33Rvt4AaABAg,"Kpn"" kita ganti aja jan dari banteng lagi",Kpn kita ganti aja jan dari banteng lagi,negatif
251,@konpencapirkelompokpenderi4668,UgyMak6VuWjKqCxe-Yp4AaABAg,Hutang Indonesia sdh Triliunan USD Nohhh,Hutang indonesia sdh triliunan usd nohhh,negatif
252,@sikitambyar7322,Ugx6J3McFOxNRtdojs54AaABAg,"Percuma ke MK. PT. Indoferro di Ciwandan - Cilegon - Banten Pernah PHK hampir seribu karyawan tapi di surat keterangan semua karyawan dibuat resign agar perusahaan aman, karyawan nurut aja karena butuh uang cepat dan dpt pakelarin untuk pencairan BPJS. Mau melawan juga susah, ikut serikat berbulan2 tetap saja tidak dapat hasil yg baik, sementara anak istri kudu makan tiap hari, belum biaya ini itu yg tak terduga. intinya susah melawan PT yg sudah pasti punya uang dan bayar orang untuk membela. ðŸ˜­ Percuma lawan pemerintah karena lawan PT saja sangat susah dengan Status karyawan tetap bukan outsorcing.",,negatif
253,@sikitambyar7322,UgzElLMwx0qbZu-cmvB4AaABAg,"PT. Indoferro di Ciwandan - Cilegon - Banten Pernah PHK hampir seribu karyawan tapi di surat keterangan semua karyawan dibuat resign agar perusahaan aman, karyawan nurut aja karena butuh uang cepat dan dpt pakelarin untuk pencairan BPJS. Mau melawan juga susah, ikut serikat berbulan2 tetap saja tidak dapat hasil yg baik, sementara anak istri kudu makan tiap hari, belum biaya ini itu yg tak terduga. intinya susah melawan PT yg sudah pasti punya uang dan bayar orang untuk membela. ðŸ˜­ Percuma lawan pemerintah karena lawan PT saja sangat susah dengan Status karyawan tetap bukan outsorcing.",,negatif
254,@Fadlyriki3889,UgwYv6-pMOJpQOMkQ114AaABAg,Pngen ketawa tpi takut anarkisðŸ˜‚,Pngen ketawa tpi takut anarkis,negatif
255,@muhammaddjazuli2521,UgyoJxGJzqMStREst6F4AaABAg,Semua HANCUR HAMBURADUL....... MALU LAH pemerintahannya kayak gini...ðŸ¤­ðŸ¤­ðŸ¤­,Semua hancur hamburadul malu lah pemerintahannya kayak gini,negatif
256,@herfans8797,Ugwy5OLmWZTqyeg-HId4AaABAg,Intinya omnibus law cipta kerja tidak akan saya tarik... gitu toh pak ? Mau nunggu konflik horizontal dlu ?,Intinya omnibus law cipta kerja tidak akan saya tarik gitu toh pak mau nunggu konflik horizontal dlu,negatif
257,@redmi6pro323,UgxXqbqei-OfP_9rmmp4AaABAg,gak kumplit nie video... hadeuhh,Gak kumplit nie video hadeuhh,negatif
258,@indracahya9250,UgyhHDTaf7L9-CDxJf14AaABAg,"Kami yang turun ke jalan memastikan bahwa Corona itu hanya Politik dan Bisnis semata, selama ini kita hanya di Bodohi dan di Bohongi.",Kami yang turun ke jalan memastikan bahwa corona itu hanya politik dan bisnis semata selama ini kita hanya di bodohi dan di bohongi,negatif
259,@ghearoporoponamabirsamabir6109,Ugzgc6er2b_1PjSDkDN4AaABAg,Mantaaap...pak....indonesi maju...!!!,Mantaaappakindonesi maju,negatif
260,@nobitayt1433,Ugyb_s39kdgSVOnsLFh4AaABAg,Inikah presidet Indonesia??,Inikah presidet indonesia,negatif
261,@slotgacor6358,Ugxz9RYY2mLY_WircKd4AaABAg,Kagak waras emanggeh,Kagak waras emanggeh,negatif
262,@rifkypanjalu7318,UgxubUgrqVdkvYETwZB4AaABAg,sekian lama menunggu keputusan beliau tentang keramaian ini ternyata hanya sepenggal kata yg di ucapkan . saya kasih bintang 2 aja deh . setuju like ðŸ‘,Sekian lama menunggu keputusan beliau tentang keramaian ini ternyata hanya sepenggal kata yg di ucapkan saya kasih bintang 2 aja deh setuju like,negatif
263,@ekofranda1149,Ugyq14kfPiT3XZXGEg54AaABAg,Ngadu ke allah aja oak..biar pada kena azab,Ngadu ke allah aja oakbiar pada kena azab,negatif
264,@mochamadsochibmaulana6529,UgwgiY7vmDw1DNDk7pt4AaABAg,Siap Bang Jago,Siap bang jago,negatif
265,@semuaadadisini331,UgyZn9krPQF4oTQG7Gp4AaABAg,ENTAR LIAT MUSIBAH APA YANG MENIMPA INDONESIA KITA LIHAT DI BULAN 11-12 ATAU TEPATNYA PENGHUJUNH TAHUN INI SILAHKAN PIN KOMENAN SAYA.,Entar liat musibah apa yang menimpa indonesia kita lihat di bulan 1112 atau tepatnya penghujunh tahun ini silahkan pin komenan saya,negatif
266,@cakgoogle5169,UgxbSuMfumOh7_uIk-Z4AaABAg,KALAU RAKYAT SUDAH BERONTAK !!! APA PERLU MASIH KE MK !!! SERIUS NANYA !! BUKANNYA RAKYAT KEKUASAAN TERTINGGI,Kalau rakyat sudah berontak apa perlu masih ke mk serius nanya bukannya rakyat kekuasaan tertinggi,negatif
267,@gustianlahm3616,Ugyi8jn0dYCpltIzu3h4AaABAg,always kertas berlakban di tempel depan kamera..soale monitor masih di gadein ke cukong..,Always kertas berlakban di tempel depan kamerasoale monitor masih di gadein ke cukong,negatif
268,@riautv3436,Ugx68hOj11Znf9f4A8p4AaABAg,"jikalau anda orang yg sederhana, biar saja tunjukkan bagaimana pemikiran orang yang sederhana,""Kekuasaan tertinggi di tangan rakyat, jika rakyat tidak setuju, HENTIKAN!!!",Jikalau anda orang yg sederhana biar saja tunjukkan bagaimana pemikiran orang yang sederhanakekuasaan tertinggi di tangan rakyat jika rakyat tidak setuju hentikan,negatif
269,@muftiahbal8994,UgwL0JwyZem8gVDC85V4AaABAg,"silahkan laporan di bos! u 2 nya pecat bossss... kok gini! duduk dari dulu kek bukan selesai masalah kayak orang gak punya sala! minta maaf kek,apa kek! moralitas nya mana ente Boss",Silahkan laporan di bos u 2 nya pecat bossss kok gini duduk dari dulu kek bukan selesai masalah kayak orang gak punya sala minta maaf kekapa kek moralitas nya mana ente boss,negatif
270,@dewijatube407,UgwFzTo5T6pq4UFt_ex4AaABAg,Istri anak cucu kluarga ayem smua ya pak dan kluarga kolongmerat lainya yg merasa negri ini milik bapac nyaðŸ‘,Istri anak cucu kluarga ayem smua ya pak dan kluarga kolongmerat lainya yg merasa negri ini milik bapac nya,negatif
271,@farta_rb2128,UgxqpSaOywcjmTFezu14AaABAg,Si dongok ngomong opo,Si dongok ngomong opo,negatif
272,@derydaswara4909,UgxdzgrHVWFxMzSNWyt4AaABAg,Ttep bkal mnang dia.. secra dia penguasaðŸ˜ŠðŸ˜€ðŸ˜€,Ttep bkal mnang dia secra dia penguasa,negatif
273,@stevanibrz701,UgxFxtytMGcXGE3C1054AaABAg,"Di uud nya ga ada tapi dia bilang jaminan sosial masih ada , ngapain di tulis ga ada kalau masih ada ?!? Lucuuuu",Di uud nya ga ada tapi dia bilang jaminan sosial masih ada ngapain di tulis ga ada kalau masih ada lucuuuu,negatif
274,@Seseorangdari,UgzJUhRuhQoW2ymESI54AaABAg,"Indonesia itu negara demokrasi pancasila Bukan monarki, napa pengen banget sih berkuasa. Awalnya kukira ingin maju pindah2 daerah kepemimpinan. Eh kok makin ambis sih pak. Jadi bisa cocokologi knp anak2 bapak pada sombong semua.....",Indonesia itu negara demokrasi pancasila bukan monarki napa pengen banget sih berkuasa awalnya kukir,negatif
275,@pussy3787,UgzKN8DGutUiZkxDWbx4AaABAg,Pecat DPR,Pecat dpr,negatif
276,@NataLia-di1sr,Ugzuy6AnTCXja_T3eA54AaABAg,"Di era kepemimpinanmu terlebih saya seorang petani sangat buruk pak,jauh di banding sebelummu bagaikan langit dan bumi. Satu kata bapak tidak becus",Di era kepemimpinanmu terlebih saya seorang petani sangat buruk pakjauh di banding sebelummu bagaikan langit dan bumi satu kata bapak tidak becus,negatif
277,@rickymaulana5409,UgyKhqMDsiapa8NkMejM2N4AaABAg,"Yang baca komenan ini bisa cek video di channel Amien Rais official yang judulnya cabut omnibuslaw, buat wawasan",Yang baca komenan ini bisa cek video di channel amien rais official yang judulnya cabut omnibuslaw buat wawasan,negatif
278,@azisarfand9447,UgzfTvqZFIxtgoU02YB4AaABAg,Udah ktauan rakyat ga setuju... Tinggal ttd ga setuju aja di batalkan... Knpa harus lewat MK... Biar ktauan siapa yg mnang sma yg kalahnya gtu,Udah ktauan rakyat ga setuju tinggal ttd ga setuju aja di batalkan knpa harus lewat mk biar ktauan siapa yg mnang sma yg kalahnya gtu,negatif
279,@ronaldosanimalio5826,UgxnXdz1EMzKJMZ97394AaABAg,"PENJABARAN OMNIBUS LAWNUA JUGA DIJABARKAN JANGAN KATA PENUTUP NYA AJA YG LU LIPUT, ITU VIDEO ASLI 20 MENIT LU AMBIL 30 DETIK. KOMPAS GA BRRMUTU",Penjabaran omnibus lawnua juga dijabarkan jangan kata penutup nya aja yg lu liput itu video asli 20 menit lu ambil 30 detik kompas ga brrmutu,negatif
280,@kusnandarkusnandar6590,UgxVbfZ1Im8niY7vPlZ4AaABAg,"kalau bapak ingin damai rakyat indonesia cabut omnibuslaw, jangan memaksakan uu omnibuslaw pak kasihannilah rakyatmu pak, bila bapak cinta rakyat indonesia cabut kembali uu omnibuslaw",kalau bapak ingin damai rakyat indonesia cabut omnibuslaw jangan memaksakan uu omnibuslaw pak kasihannilah rakyatmu pak bila bapak cinta rakyat indonesia cabut kembali uu omnibuslaw,negatif
281,@syukripranata1688,UgyT8rFiB3b2kzc3AWp4AaABAg,"Saya pengen pemimpin seperti Umar bin Khattab,",Saya pengen pemimpin seperti umar bin khattab,negatif
282,@alexsalapan6329,UgzgrrKBT8t55uOV7fx4AaABAg,".. ""Saat dibawa ke MK akan saya KONDISI kan sehingga NASIB OMNIBUSLAW akan SAMA dengan UU KPK dulu, yaitu TETAP DI-SAH-KAN"".. ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ Kite UDAH HAFAL GELAGAT lu, PLONGOO..",Saat dibawa ke mk akan saya kondisi kan sehingga nasib omnibuslaw akan sama dengan uu kpk dulu yaitu tetap disahkan kite udah hafal gelagat lu plongoo,negatif
283,@gabybatubara,UgztqWYgsn-_z8DxKIp4AaABAg,"Mengaku kontra tapi tidak paham substansi sama sekali, miskin literasi (dan memang dasarnya enggan mencari), dan nyaman menganut victim-mentality. Belum apa-apa sudah pesimis, belum apa-apa sudah menganggap kalau ruang diskusi yang ditawarkan tidak akan bisa mengubah situasi menjadi lebih baik. Ada sarana untuk berkontribusi langsung ditolak mentah-mentah, mungkin karena memang sudah kebiasaan kita untuk menunjuk dan menyalahkan saja. Miris tapi memang inilah sifat kita orang Indonesia... secara sederhana tergambarkan dari isi kolom komentar ini.",,negatif
284,@dirgaadreas6765,Ugwwl9UKfTixmCn1aFZ4AaABAg,Durasi penuhnya tontonin min biar orang faham jngan siapaotong begini,Durasi penuhnya tontonin min biar orang faham jngan siapaotong begini,negatif
285,@gigigigis1231,UgxgJiQ2_IRDECIDu3Z4AaABAg,Preett lah..,Preett lah,negatif
286,@pertualangsibocil2931,UgxOa8JCCxUAOH7NZU14AaABAg,Percuma ke mk,Percuma ke mk,negatif
287,@adiito1195,UgwLg75Te8G9QxuZu2d4AaABAg,Nikmati aja pemimpin pilihan kalian,Nikmati aja pemimpin pilihan kalian,negatif
288,@colorfullulalilo,Ugx2Z8GkI0SIZxAhcl54AaABAg,Munafiiiiiiikkkkkk,Munafiiiiiiikkkkkk,negatif
289,@subarsonosubarsono6644,UgxAKYaaqdAxlBFbMbp4AaABAg,MK tak perlu..pasti membela kau WI...yg kau turun jadi priseden...,Mk tak perlupasti membela kau wiyg kau turun jadi priseden,negatif
290,@ciblekkristal6711,Ugz2k6CBDmZwEX6JCLN4AaABAg,Bisa ada demo besar besaran ke 2 nih setelah sidang mk,Bisa ada demo besar besaran ke 2 nih setelah sidang mk,negatif
291,@windawinda3874,Ugy2cWKQjnE-oS3HpPF4AaABAg,"CONTOH pK, HARTO.. rakyat DAHH gk prcya MUNDUR tp koe sulit ....pak rakyat lo DAHH gk percaya....... kepemimpinan mu msh ngotot",Contoh pk harto rakyat dahh gk prcya mundur tp koe sulit pak rakyat lo dahh gk percaya kepemimpinan mu msh ngotot,negatif
292,@windawinda3874,Ugw5j4pfdizeDtIanvl4AaABAg,picek ttep tidak puas,Picek ttep tidak puas,negatif
293,@iwanaja3972,Ugy-tJ2BG78cqWasLt54AaABAg,"Anggota DPR yg ada kena covid hbus sidang semntra yg demo yg msanya begitu bayak blm ada kabrnya kena virus,,",Anggota dpr yg ada kena covid hbus sidang semntra yg demo yg msanya begitu bayak blm ada kabrnya kena virus,negatif
294,@usepmunandarkw1570,Ugwz5jKh8HafofkshP14AaABAg,"Silahkn mngajukn ke mk,, yakin pk",Silahkn mngajukn ke mk yakin pk,negatif
295,@insankamil7153,UgwnvKxpnWMGmIP0Evx4AaABAg,"mk juga yg menangin Dia d tengah mlm,,,ðŸ˜€ðŸ˜€ðŸ˜€",Mk juga yg menangin dia d tengah mlm,negatif
296,@Suhendri-kd3lc,Ugx5tdP8rTUpt1cX1oF4AaABAg,Wakil rakyat tidak transiapaaran kepada rakyatnya,Wakil rakyat tidak transiapaaran kepada rakyatnya,negatif
297,@maidijak7601,Ugy4DtRiGxmDIe3xLFx4AaABAg,"Turun lah udh, seperti tidak becus mimpin !!!",Turun lah udh seperti tidak becus mimpin,negatif
298,@hendiabdulmajid2867,Ugy4DtRiGxmDIe3xLFx4AaABAg.9EagNP1CEvJ9EbWO6YB_-l,Anda rugi di pasal berapa,Anda rugi di pasal berapa,negatif
299,@dickyadriansyah126,Ugy4DtRiGxmDIe3xLFx4AaABAg.9EagNP1CEvJ9EbslyFoWnO,@@hendiabdulmajid2867 semua ga UU ketenagakerjaan doang. Kuhp semuanyaa di masa dia,Hendiabdulmajid2867 semua ga uu ketenagakerjaan doang kuhp semuanyaa di masa dia,negatif
300,@narasumber5301,Ugy4DtRiGxmDIe3xLFx4AaABAg.9EagNP1CEvJ9Eg3ZIrwHSR,Dan kalian baru nyesal sekarang?? Mikir makanya dulu,Dan kalian baru nyesal sekarang mikir makanya dulu,negatif
301,@maidijak7601,Ugy4DtRiGxmDIe3xLFx4AaABAg.9EagNP1CEvJ9EgA6kAuG-s,"@@hendiabdulmajid2867 eh udang kering.. itu pasal bukan utk perorang, tapi hajat hidup orang banyak, yg dimana juga bakal melekat ke anak cucu kau kelak",Hendiabdulmajid2867 eh udang kering itu pasal bukan utk perorang tapi hajat hidup orang banyak yg dimana juga bakal melekat ke anak cucu kau kelak,negatif
302,@hendiabdulmajid2867,Ugy4DtRiGxmDIe3xLFx4AaABAg.9EagNP1CEvJ9EgaIAHjDJg,@@dickyadriansyah126 anda harus liat prestasi nya di luar Jawa brooðŸ˜ˆ,Dickyadriansyah126 anda harus liat prestasi nya di luar jawa broo,negatif
303,@opik_calmus3502,Ugz0w5Cg49rwadtLxA94AaABAg,"Bapak punya wewenang Putuskan saja saat ini Uu cipta kerja batalkan Karna untuk bisa uji materi ke MK Banyak prosedurnya Kita kalangan bawah Dengan ketentuan sebelumnya saja Masih banyak yang mengeluh Apalagi dengan Uu cipta kerja ini Dengan pandemi aja udah bikin pusing Di tambah dengan aturan UU ini Pindahkan saja saya ke negara yang banyak lapangan kerja Yang mau menerima orang ta pandai bahasa asing,gaji setara pegawai di sana Daripada disini cari kerja susah Astagfirullahaladzim",,negatif
304,@dianaaulia5595,UgzfFfMOAolwMtGLEGB4AaABAg,Kongkalikongkaleee,Kongkalikongkaleee,negatif
305,@adamsiti2067,UgxIVENqWbrfAeeFjg14AaABAg,g mana kabar kal teng bapa...jkt lg demo bapa...bapa k mana aja...,G mana kabar kal teng bapajkt lg demo bapabapa k mana aja,negatif
306,@antahberantahoktavia5859,Ugxzn_wc7opkLTgaaqZ4AaABAg,Mk haa,Mk haa,negatif
307,@wahyudinningrat9466,UgwFoD-NXmkSYdUtCbV4AaABAg,kurang madhang. jadi ngawur,Kurang madhang jadi ngawur,negatif
308,@AlfiyyaKhansa1913,UgzGjhBRKg7cMPNfKAl4AaABAg,Ngeliat nya aja udah males,Ngeliat nya aja udah males,negatif
309,@isvaramadinah8933,UgxDRmI1TvU5kopfHAZ4AaABAg,Astagfirullah,Astagfirullah,negatif
310,@antonlaksana5694,Ugy5gevQ5Xdd8zdslKF4AaABAg,"JASMERAH, inget nasib Revisi UU KPK yang diajukan ke MK tahun lalu yang katanya akan ""memperkuat"" KPK, tapi ternyata justru sebaliknya. Maaf saya sudah tidak percaya lagi sama anda.",Jasmerah inget nasib revisi uu kpk yang diajukan ke mk tahun lalu yang katanya akan memperkuat kpk tapi ternyata justru sebaliknya maaf saya sudah tidak percaya lagi sama anda,negatif
311,@bronsclip9302,Ugz6FQmvN1zTeJX_peZ4AaABAg,sandiwara..... rakyat sdh pinter ..ke MK ngapain ...halahhhhhhh,Sandiwara rakyat sdh pinter ke mk ngapain halahhhhhhh,negatif
312,@yusufhadi5426,UgyvzEsM291YFMZatzd4AaABAg,Pengen nge-share tapi takut dilaporinðŸ¤­ðŸ¤­,Pengen ngeshare tapi takut dilaporin,negatif
313,@Yangdinanti,Ugy6jMhvh8KVOXLvYtl4AaABAg,Mantul ....â›‘ï¸â›‘ï¸â›‘ï¸â›‘ï¸â›‘ï¸,Mantul,negatif
314,@ariahmad8260,Ugymr3roC93RQd4Aerp4AaABAg,Up,Up,negatif
315,@tahunorbreed7445,UgyRL1djxFaWcBGDovR4AaABAg,udah lah kita demo lagy,Udah lah kita demo lagy,negatif
